Month,#Passengers
1949-01-01,0.0
1949-02-01,0.025339494217450742
1949-03-01,0.08896726924632148
1949-04-01,0.04802789127782514
1949-05-01,-0.012415394313013195
1949-06-01,0.07846801430446693
1949-07-01,0.14164814522466784
1949-08-01,0.12016368196039462
1949-09-01,0.03067672990485182
1949-10-01,-0.08969787872437429
1949-11-01,-0.1976451026370487
1949-12-01,-0.06334208712718414
1950-01-01,-0.07962507637043625
1950-02-01,0.010538053205046971
1950-03-01,0.1111027621013303
1950-04-01,0.06132553585346834
1950-05-01,-0.01423236987391796
1950-06-01,0.14738713572982043
1950-07-01,0.25571723450666006
1950-08-01,0.23476556733623521
1950-09-01,0.14865792193824312
1950-10-01,-0.02174767108226039
1950-11-01,-0.16246894511084875
1950-12-01,0.03975902504264717
1951-01-01,0.06935184449004694
1951-02-01,0.09579764956581727
1951-03-01,0.2479753059876808
1951-04-01,0.14874293743071032
1951-05-01,0.188503490537264
1951-06-01,0.20760302101661843
1951-07-01,0.2976261528325992
1951-08-01,0.2777991181461621
1951-09-01,0.18628250844638217
1951-10-01,0.0550949401296883
1951-11-01,-0.04573161434733919
1951-12-01,0.07734810895294064
1952-01-01,0.10021358042596873
1952-02-01,0.1419378143708938
1952-03-01,0.1983955362166281
1952-04-01,0.12584058260772046
1952-05-01,0.12835658454570087
1952-06-01,0.2846880271275509
1952-07-01,0.3175584032200156
1952-08-01,0.3459717333273682
1952-09-01,0.18728012242565395
1952-10-01,0.09135112331122386
1952-11-01,-0.012620739313481621
1952-12-01,0.10129265309532531
1953-01-01,0.1048958901039505
1953-02-01,0.0986613920285242
1953-03-01,0.2675322214913125
1953-04-01,0.24773752835252605
1953-05-01,0.20880947682567097
1953-06-01,0.25240299642992525
1953-07-01,0.31565308088371236
1953-08-01,0.3253194838357025
1953-09-01,0.17664329215812735
1953-10-01,0.056925658464143325
1953-11-01,-0.09605619019747369
1953-12-01,0.013463850603049998
1954-01-01,0.02664352338668685
1954-02-01,-0.051857199956658384
1954-03-01,0.1614133441477863
1954-04-01,0.11948137830103622
1954-05-01,0.1412402824747181
1954-06-01,0.24683862216772035
1954-07-01,0.35945900393259755
1954-08-01,0.3103567170214525
1954-09-01,0.1763172571087699
1954-10-01,0.05017136989927362
1954-11-01,-0.06633005438667983
1954-12-01,0.05109647189967159
1955-01-01,0.10025603302709207
1955-02-01,0.05880753818591877
1955-03-01,0.18392651037650687
1955-04-01,0.18051249073975928
1955-05-01,0.1737609592141185
1955-06-01,0.30930176087285144
1955-07-01,0.42814003617343754
1955-08-01,0.3587535426885031
1955-09-01,0.23813116983962335
1955-10-01,0.1021263882697836
1955-11-01,-0.04051133622297698
1955-12-01,0.11231528152140946
1956-01-01,0.1261104422719086
1956-02-01,0.09543659683703343
1956-03-01,0.21730846268553972
1956-04-01,0.19305435591735698
1956-05-01,0.19710872260525214
1956-06-01,0.3390344152791309
1956-07-01,0.41350154373349124
1956-08-01,0.3717214524163923
1956-09-01,0.22642184104743457
1956-10-01,0.07349831911937255
1956-11-01,-0.04526453892831217
1956-12-01,0.07190809493224037
1957-01-01,0.09521183892730622
1957-02-01,0.04694749086775918
1957-03-01,0.2026742328921891
1957-04-01,0.16981497982069982
1957-05-01,0.1790502928777773
1957-06-01,0.3321303546379637
1957-07-01,0.4050124472439487
1957-08-01,0.3862751444437498
1957-09-01,0.22778268853127503
1957-10-01,0.07143495780412845
1957-11-01,-0.05433973724089558
1957-12-01,0.04007190573798258
1958-01-01,0.04898770249928308
1958-02-01,-0.01689976408263849
1958-03-01,0.10635768415971825
1958-04-01,0.0631544171861087
1958-05-01,0.09943299802089456
1958-06-01,0.26461812523677075
1958-07-01,0.36403937692641364
1958-08-01,0.37011666952051225
1958-09-01,0.1387145599763322
1958-10-01,0.01946337251068897
1958-11-01,-0.12013526481386894
1958-12-01,-0.034567039933052435
1959-01-01,0.029687051617877103
1959-02-01,-0.02039252158424265
1959-03-01,0.14265953669125153
1959-04-01,0.1111083142501279
1959-05-01,0.16040333683708052
1959-06-01,0.2615628855231025
1959-07-01,0.38778439300434986
1959-08-01,0.384764376844271
1959-09-01,0.18531572787208273
1959-10-01,0.05323453017246482
1959-11-01,-0.06034422158364805
1959-12-01,0.04898436422684771
1960-01-01,0.07379339187805467
1960-02-01,0.008886091906395777
1960-03-01,0.07366707333553801
1960-04-01,0.15969437419886123
1960-05-01,0.17298509952752728
1960-06-01,0.28152630948378743
1960-07-01,0.407934244791452
1960-08-01,0.36043459489168317
1960-09-01,0.17370390647197897
1960-10-01,0.07231894476625644
1960-11-01,-0.08960283667957203
1960-12-01,0.011964388793907155
